instance,app,pre_processing,solving_time,delay,jitter,cumulative_max_delay,cumulative_max_jitter,cumulative_max_delay_app,cumulative_max_jitter_app
1,App2,0.125628,0.015848,692000.0,0,692000.0,0.0,692000.0,0
2,App2,0.125628,0.169344,692000.0,0,692000.0,0.0,692000.0,0
3,App1,0.125628,0.263898,68000.0,0,692000.0,0.0,68000.0,0
4,App2,0.125628,0.16684,676000.0,0,692000.0,0.0,692000.0,0
5,App2,0.125628,0.159945,692000.0,0,692000.0,0.0,692000.0,0
6,App1,0.125628,0.288111,68000.0,0,692000.0,0.0,68000.0,0
7,App1,0.125628,0.281005,68000.0,0,692000.0,0.0,68000.0,0
8,App1,0.125628,0.271853,84000.0,0,692000.0,0.0,84000.0,0
9,App2,0.125628,0.16908,676000.0,0,692000.0,0.0,692000.0,0
10,App2,0.125628,0.162709,676000.0,0,692000.0,0.0,692000.0,0
11,App1,0.125628,0.275371,84000.0,0,692000.0,0.0,84000.0,0
12,App1,0.125628,0.321417,68000.0,0,692000.0,0.0,84000.0,0
13,App2,0.125628,0.162507,676000.0,0,692000.0,0.0,692000.0,0
14,App2,0.125628,0.159776,676000.0,0,692000.0,0.0,692000.0,0
15,App1,0.125628,0.30275,68000.0,0,692000.0,0.0,84000.0,0
16,App1,0.125628,0.280567,84000.0,0,692000.0,0.0,84000.0,0
17,App1,0.125628,0.274846,68000.0,0,692000.0,0.0,84000.0,0
18,App2,0.125628,0.163469,660000.0,0,692000.0,0.0,692000.0,0
19,App1,0.125628,0.273758,84000.0,0,692000.0,0.0,84000.0,0
20,App2,0.125628,0.169619,692000.0,0,692000.0,0.0,692000.0,0
21,App2,0.125628,0.162658,660000.0,0,692000.0,0.0,692000.0,0
22,App2,0.125628,0.162707,676000.0,0,692000.0,0.0,692000.0,0
23,App1,0.125628,0.249085,84000.0,0,692000.0,0.0,84000.0,0
24,App2,0.125628,0.165103,676000.0,0,692000.0,0.0,692000.0,0
25,App1,0.125628,0.311269,68000.0,0,692000.0,0.0,84000.0,0
26,App2,0.125628,0.166148,676000.0,0,692000.0,0.0,692000.0,0
27,App1,0.125628,0.280262,84000.0,0,692000.0,0.0,84000.0,0
28,App1,0.125628,0.265284,84000.0,0,692000.0,0.0,84000.0,0
29,App2,0.125628,0.166411,660000.0,0,692000.0,0.0,692000.0,0
30,App2,0.125628,0.165264,692000.0,0,692000.0,0.0,692000.0,0
31,App2,0.125628,0.18083,692000.0,0,692000.0,0.0,692000.0,0
32,App1,0.125628,0.238984,84000.0,0,692000.0,0.0,84000.0,0
